SCHL_NR_ID,CNSS_YR,CNSS_SB_ID,SCHOOL_NM,SCHL_DSTRT,ELMNTRY_ST,SCNDRY_SCT,SCHL_YR_PD,DT_PBLCTNR,LATITUDE,LONGITUDE,X,Y
334,2011,5915001,Belmont Elementary,Langley,577,0,2016/2017,2017,49.074005,-122.65974,,
335,2011,5915001,Betty Gilbert Middle,Langley,260,160,2016/2017,2017,49.051781,-122.48036,,
336,2011,5915002,Blacklock Fine Arts Elementary,Langley,254,0,2016/2017,2017,49.095314,-122.65183,,
337,2011,5915001,Brookswood Secondary,Langley,0,1120,2016/2017,2017,49.070208,-122.64454,,
338,2011,5915001,Choices Program,Langley,0,102,2016/2017,2017,49.104445,-122.62895,,
339,2011,5915001,Coghlan Fundamental Elementary,Langley,230,0,2016/2017,2017,49.082723,-122.51378,,
340,2011,5915001,Credo Christian Schools,Langley,223,299,2016/2017,2017,49.095755,-122.61797,,
341,2011,5915001,D W Poppy Secondary,Langley,0,828,2016/2017,2017,49.095366,-122.56604,,
342,2011,5915001,Dorothy Peacock Elementary,Langley,440,0,2016/2017,2017,49.167822,-122.66029,,
343,2011,5915002,Douglas Park Community,Langley,227,0,2016/2017,2017,49.100816,-122.65186,,
344,2011,5915001,Focus Alternate,Langley,0,33,2016/2017,2017,49.105450,-122.62892,,
345,2011,5915001,Fort Langley Elementary,Langley,260,0,2016/2017,2017,49.164141,-122.58260,,
346,2011,5915001,Fraser Valley Adventist Academy,Langley,112,105,2016/2017,2017,49.088334,-122.50268,,
347,2011,5915001,Fraser Valley Elementary,Langley,83,0,2016/2017,2017,49.124812,-122.65943,,
348,2011,5915001,Glenwood Elementary,Langley,170,0,2016/2017,2017,49.046304,-122.64812,,
349,2011,5915001,Gordon Greenwood Elementary,Langley,433,0,2016/2017,2017,49.169186,-122.65275,,
350,2011,5915002,H D Stafford Middle,Langley,391,192,2016/2017,2017,49.088899,-122.65617,,
351,2011,5915001,James Hill Elementary,Langley,295,0,2016/2017,2017,49.084176,-122.61008,,
352,2011,5915001,James Kennedy Elementary,Langley,668,0,2016/2017,2017,49.166979,-122.63367,,
353,2011,5915001,King's School,Langley,88,35,2016/2017,2017,49.133333,-122.61666,,
354,2011,5915001,Langley Christian,Langley,632,402,2016/2017,2017,49.087501,-122.58928,,
355,2011,5915001,Langley Education Centre,Langley,0,271,2016/2017,2017,49.104445,-122.62895,,
356,2011,5915001,Langley Fine Arts School,Langley,396,536,2016/2017,2017,49.168156,-122.58691,,
357,2011,5915001,Langley Fundamental Elementary,Langley,520,0,2016/2017,2017,49.093879,-122.62026,,
358,2011,5915001,Langley Fundamental Middle/Secondary Sch,Langley,180,547,2016/2017,2017,49.077442,-122.63494,,
359,2011,5915001,Langley Meadows Elementary,Langley,426,0,2016/2017,2017,49.121102,-122.67212,,
360,2011,5915001,Langley Montessori School,Langley,68,0,2016/2017,2017,49.090615,-122.62786,,
361,2011,5915001,Langley Online and Distributed Learning,Langley,0,393,2016/2017,2017,49.104445,-122.62895,,
362,2011,5915001,Langley Secondary,Langley,0,819,2016/2017,2017,49.105450,-122.62892,,
363,2011,5915001,U-Connect,Langley,79,96,2016/2017,2017,49.028457,-122.60275,,
364,2011,5915001,Lynn Fripps Elementary,Langley,435,0,2016/2017,2017,49.151962,-122.63940,,
365,2011,5915002,Nicomekl Elementary,Langley,256,0,2016/2017,2017,49.098433,-122.66728,,
366,2011,5915001,Noel Booth Elementary,Langley,300,0,2016/2017,2017,49.065036,-122.66184,,
367,2011,5915001,North Otter Elementary,Langley,274,0,2016/2017,2017,49.099790,-122.53544,,
368,2011,5915001,Parkside Centennial Elementary,Langley,460,0,2016/2017,2017,49.062746,-122.47508,,
369,2011,5915001,Peterson Road Elementary,Langley,270,0,2016/2017,2017,49.086052,-122.57461,,
